election_id,prov_code,ed_id,ed_name,Grn,Lib,NDP,Other,PC,SoCred,1st,2nd,3rd
33,NB,72,"WESTMORLAND--KENT",,14709,7148,,13371,,Lib,PC,NDP
33,NB,73,"YORK--SUNBURY",,9873,7366,377,25190,,PC,Lib,NDP
33,NL,74,"BONAVISTA--TRINITY--CONCEPTION",,14103,1432,,19015,,PC,Lib,NDP
33,NL,75,"BURIN--ST. GEORGE'S",,12885,1767,,13184,,PC,Lib,NDP
33,NL,76,"GANDER--TWILLINGATE",,16100,1138,,13076,,Lib,PC,NDP
33,NL,77,"GRAND FALLS--WHITE BAY--LABRADOR",,12938,3616,,12114,,Lib,PC,NDP
33,NL,78,"HUMBER--PORT AU PORT--ST. BARBE",,17409,1530,196,16916,,Lib,PC,NDP
33,NL,79,"ST. JOHN'S EAST",,5644,2584,325,30866,,PC,Lib,NDP
33,NL,80,"ST. JOHN'S WEST",,8699,1926,,33696,,PC,Lib,NDP
33,NS,81,"ANNAPOLIS VALLEY--HANTS",,12463,6987,762,23580,,PC,Lib,NDP
33,NS,82,"CAPE BRETON HIGHLANDS--CANSO",,15026,4308,,19371,,PC,Lib,NDP
33,NS,83,"CAPE BRETON--EAST RICHMOND",,20270,3709,444,11896,,Lib,PC,NDP
33,NS,84,"CAPE BRETON--THE SYDNEYS",,16051,6673,,13658,,Lib,PC,NDP
33,NS,85,"CENTRAL NOVA",,9148,4572,,21462,,PC,Lib,NDP
33,NS,86,"CUMBERLAND--COLCHESTER",,12489,5527,,24180,,PC,Lib,NDP
33,NS,87,"DARTMOUTH--HALIFAX EAST",,13084,9503,,27549,,PC,Lib,NDP
33,NS,88,"HALIFAX",,14411,8576,174,18779,,PC,Lib,NDP
33,NS,89,"HALIFAX WEST",,13529,11626,355,30287,,PC,Lib,NDP
33,NS,90,"SOUTH SHORE",,11439,5633,,22347,,PC,Lib,NDP
33,NS,91,"SOUTH WEST NOVA",,17044,3076,,20604,,PC,Lib,NDP
33,NT,92,"NUNATSIAQ",,1990,1973,686,2237,,PC,Lib,NDP
33,NT,93,"WESTERN ARCTIC",,3264,3538,,5822,,PC,NDP,Lib
33,ON,94,"ALGOMA",,14113,9499,462,12811,,Lib,PC,NDP
33,ON,95,"BEACHES",581,8155,14914,624,12443,,NDP,PC,Lib
33,ON,96,"BRAMPTON--GEORGETOWN",458,23325,13356,153,47743,,PC,Lib,NDP
33,ON,97,"BRANT",,7286,23103,,21679,207,NDP,PC,Lib
33,ON,98,"BROADVIEW--GREENWOOD",239,6060,15066,224,11455,,NDP,PC,Lib
