election_id,prov_code,ed_id,ed_name,CCF,Grn,Lib,NDP,Other,PC,Reform,SoCred,1st,2nd,3rd
34,BC,33,"FRASER VALLEY EAST",,,9076,12011,3832,16631,1329,,PC,NDP,Lib
34,BC,34,"FRASER VALLEY WEST",,,10079,13178,2786,23565,1804,,PC,NDP,Lib
34,BC,35,"KAMLOOPS",,263,5412,21513,144,13328,477,,NDP,PC,Lib
34,BC,36,"KOOTENAY EAST",,,4159,14904,742,13284,1398,,NDP,PC,Lib
34,BC,37,"KOOTENAY WEST--REVELSTOKE",,674,5479,16381,,12667,,,NDP,PC,Lib
34,BC,38,"MISSION--COQUITLAM",,,6660,22259,997,20097,864,,NDP,PC,Lib
34,BC,39,"NANAIMO--COWICHAN",,484,5210,27177,164,18984,3314,,NDP,PC,Lib
34,BC,40,"NEW WESTMINSTER--BURNABY",,332,11013,24933,432,18007,1722,718,NDP,PC,Lib
34,BC,41,"NORTH ISLAND--POWELL RIVER",,519,6867,22179,1941,10411,718,,NDP,PC,Lib
34,BC,42,"NORTH VANCOUVER",,462,13382,11735,705,18515,4387,,PC,Lib,NDP
34,BC,43,"OKANAGAN CENTRE",,496,8922,15800,,19485,7599,,PC,NDP,Lib
34,BC,44,"OKANAGAN--SHUSWAP",,495,6868,18749,89,15606,1321,,NDP,PC,Lib
34,BC,45,"OKANAGAN--SIMILKAMEEN--MERRITT",,686,7520,16694,,15352,2492,451,NDP,PC,Lib
34,BC,46,"PORT MOODY--COQUITLAM",,368,8346,23871,253,19528,1617,,NDP,PC,Lib
34,BC,47,"PRINCE GEORGE--BULKLEY VALLEY",,,9281,14248,1357,11844,605,,NDP,PC,Lib
34,BC,48,"PRINCE GEORGE--PEACE RIVER",,,4183,11684,258,13903,5077,,PC,NDP,Reform
34,BC,49,"RICHMOND",,253,13231,15787,1266,25559,1929,,PC,NDP,Lib
34,BC,50,"SAANICH--GULF ISLANDS",,,11534,23168,680,21900,8165,,NDP,PC,Lib
34,BC,51,"SKEENA",,,4646,16815,1142,9023,284,,NDP,PC,Lib
34,BC,52,"SURREY NORTH",,156,13412,19940,1452,17674,1247,,NDP,PC,Lib
34,BC,53,"SURREY--WHITE ROCK",,263,14217,14725,1186,26320,3821,,PC,NDP,Lib
34,BC,54,"VANCOUVER CENTRE",,514,14467,23351,601,23620,876,,PC,NDP,Lib
34,BC,55,"VANCOUVER EAST",,401,11692,20108,823,6248,,,NDP,Lib,PC
34,BC,56,"VANCOUVER QUADRA",,,24021,11687,1170,16664,1112,,Lib,PC,NDP
34,BC,57,"VANCOUVER SOUTH",,327,14468,11939,1247,21222,1052,,PC,Lib,NDP
34,BC,58,"VICTORIA",,1037,12617,22399,330,17660,4956,,NDP,PC,Lib
34,MB,59,"BRANDON--SOURIS",,,11404,5018,1765,17372,1578,,PC,Lib,NDP
34,MB,60,"CHURCHILL",,,5800,14168,,5164,,,NDP,Lib,PC
34,MB,61,"DAUPHIN--SWAN RIVER",,,6985,11881,787,14719,1209,,PC,NDP,Lib
34,MB,62,"LISGAR--MARQUETTE",,,7174,2199,2731,17484,2832,,PC,Lib,Reform
34,MB,63,"PORTAGE--INTERLAKE",,,10381,6372,229,13307,4054,,PC,Lib,NDP
34,MB,64,"PROVENCHER",,,11121,2490,357,19000,1246,,PC,Lib,NDP
34,MB,65,"SELKIRK",,,12451,13899,1929,17813,595,,PC,NDP,Lib
34,MB,66,"ST. BONIFACE",,,24117,5012,658,15747,1281,,Lib,PC,NDP
34,MB,67,"WINNIPEG NORTH",,,16375,14612,443,10527,793,,Lib,NDP,PC
34,MB,68,"WINNIPEG NORTH CENTRE",,,12104,10580,927,5334,417,,Lib,NDP,PC
34,MB,69,"WINNIPEG SOUTH",,,22150,3151,168,22865,1428,,PC,Lib,NDP
34,MB,70,"WINNIPEG SOUTH CENTRE",,,26191,4637,265,12960,777,,Lib,PC,NDP
34,MB,71,"WINNIPEG TRANSCONA",,,13460,17361,579,10815,,,NDP,Lib,PC
34,MB,72,"WINNIPEG--ST. JAMES",,,18695,4258,198,16993,1549,,Lib,PC,NDP
34,NB,73,"BEAUSÉJOUR",,,22650,3958,1511,10525,,,Lib,PC,NDP
34,NB,74,"CARLETON--CHARLOTTE",,,14116,2596,1183,16026,,,PC,Lib,NDP
34,NB,75,"FREDERICTON",,,18939,4922,3324,20494,,,PC,Lib,NDP
34,NB,76,"FUNDY--ROYAL",,,16411,4965,2742,21129,,,PC,Lib,NDP
34,NB,77,"GLOUCESTER",,,20251,2163,,16721,,,Lib,PC,NDP
34,NB,78,"MADAWASKA--VICTORIA",,,13385,2441,,14747,,,PC,Lib,NDP
34,NB,79,"MIRAMICHI",,,14073,1686,2954,8983,,,Lib,PC,Other
34,NB,80,"MONCTON",,,23823,4904,4787,17267,,,Lib,PC,NDP
34,NB,81,"RESTIGOUCHE",,,15252,3272,,12366,,,Lib,PC,NDP
34,NB,82,"SAINT JOHN",,,15067,4883,2257,16798,,,PC,Lib,NDP
34,NL,83,"BONAVISTA--TRINITY--CONCEPTION",,,21290,2372,,17809,,,Lib,PC,NDP
34,NL,84,"BURIN--ST. GEORGE'S",,,18527,2299,,17488,,,Lib,PC,NDP
34,NL,85,"GANDER--GRAND FALLS",,,20314,4618,,11478,,,Lib,PC,NDP
34,NL,86,"HUMBER--ST. BARBE--BAIE VERTE",,,26259,1441,,11477,,,Lib,PC,NDP
34,NL,87,"LABRADOR",,,7126,1508,286,4400,,,Lib,PC,NDP
34,NL,88,"ST. JOHN'S EAST",,,9285,17198,739,21503,,,PC,NDP,Lib
34,NL,89,"ST. JOHN'S WEST",,,12787,2333,,24194,,,PC,Lib,NDP
34,NS,90,"ANNAPOLIS VALLEY--HANTS",,,18840,5886,1518,20763,,,PC,Lib,NDP
34,NS,91,"CAPE BRETON HIGHLANDS--CANSO",,,20318,2036,,17557,,,Lib,PC,NDP
34,NS,92,"CAPE BRETON--EAST RICHMOND",,,22786,4482,,7173,,,Lib,PC,NDP
34,NS,93,"CAPE BRETON--THE SYDNEYS",,,23931,2999,,10901,,,Lib,PC,NDP
34,NS,94,"CENTRAL NOVA",,,15066,5110,,19065,,,PC,Lib,NDP
34,NS,95,"CUMBERLAND--COLCHESTER",,,18340,4112,1298,20384,,,PC,Lib,NDP
34,NS,96,"DARTMOUTH",,,21958,5162,556,19863,,,Lib,PC,NDP
34,NS,97,"HALIFAX",,,22470,9269,671,19840,,,Lib,PC,NDP
34,NS,98,"HALIFAX WEST",,,21409,9011,217,24815,,,PC,Lib,NDP
34,NS,99,"SOUTH SHORE",,,16995,4052,329,18547,,,PC,Lib,NDP
34,NS,100,"SOUTH WEST NOVA",,,21062,2396,1172,17482,,,Lib,PC,NDP
34,NT,101,"NUNATSIAQ",,,3356,2786,333,1928,,,Lib,NDP,PC
34,NT,102,"WESTERN ARCTIC",,,5415,3207,500,3657,,,Lib,PC,NDP
34,ON,103,"ALGOMA",,,16766,7341,,7383,,,Lib,PC,NDP
34,ON,104,"BEACHES--WOODBINE",,317,14900,15760,729,13107,,,NDP,Lib,PC
