election_id,prov_code,ed_id,ed_name,CCF,Con,Lib,NDP,Other,PC,SoCred,1st,2nd,3rd
19,NB,59,"WESTMORLAND",,,16431,,,10259,,Lib,PC,CCF
19,NB,60,"YORK--SUNBURY",,,9908,,,10352,,PC,Lib,Con
19,NS,61,"ANTIGONISH--GUYSBOROUGH",,,7281,,,4610,,Lib,PC,CCF
19,NS,62,"CAPE BRETON NORTH AND VICTORIA",2097,,6326,,,5156,,Lib,PC,CCF
19,NS,63,"CAPE BRETON SOUTH",11582,,11364,,,9719,,CCF,Lib,PC
19,NS,64,"COLCHESTER--HANTS",,,12328,,,10044,,Lib,PC,CCF
19,NS,65,"CUMBERLAND",1403,,8061,,,8073,,PC,Lib,CCF
19,NS,66,"DIGBY--ANNAPOLIS--KINGS",,,15094,,,9518,,Lib,PC,CCF
19,NS,67,"HALIFAX-1",,,22089,,9217,18197,,Lib,PC,Other
19,NS,68,"HALIFAX-2",1561,,19398,,,18114,,Lib,PC,CCF
19,NS,69,"INVERNESS--RICHMOND",,,9123,,,7069,,Lib,PC,CCF
19,NS,70,"PICTOU",,,9983,,615,8292,,Lib,PC,Other
19,NS,71,"QUEENS--LUNENBURG",457,,10616,,,7845,,Lib,PC,CCF
19,NS,72,"SHELBURNE--YARMOUTH--CLARE",,,10851,,,6569,,Lib,PC,CCF
19,ON,73,"ALGOMA EAST",1635,,5565,,,3126,,Lib,PC,CCF
19,ON,74,"ALGOMA WEST",2196,,8632,,,5612,,Lib,PC,CCF
19,ON,75,"BRANT",,,4657,,,4519,,Lib,PC,CCF
19,ON,76,"BRANTFORD CITY",1315,,8013,,,6312,,Lib,PC,CCF
19,ON,77,"BROADVIEW",2613,,7866,,,14474,,PC,Lib,CCF
19,ON,78,"BRUCE",,,7420,,,5275,,Lib,PC,CCF
19,ON,79,"CARLETON",,,6617,,,7736,,PC,Lib,Con
19,ON,80,"COCHRANE",,,16785,,3922,5652,,Lib,PC,Other
19,ON,81,"DANFORTH",,11847,8946,,,,,Con,Lib,CCF
19,ON,82,"DAVENPORT",,,11140,,,14890,,PC,Lib,Con
19,ON,83,"DUFFERIN--SIMCOE",,,,,4226,6527,,PC,Other,Con
19,ON,84,"DURHAM",,,6743,,,5435,,Lib,PC,CCF
19,ON,85,"EGLINTON",,,17166,,,16926,,Lib,PC,CCF
19,ON,86,"ELGIN",,,11867,,,8905,,Lib,PC,CCF
19,ON,87,"ESSEX EAST",2879,,9811,,398,8060,,Lib,PC,CCF
19,ON,88,"ESSEX SOUTH",,,7624,,,5457,,Lib,PC,CCF
19,ON,89,"ESSEX WEST",2035,,14133,,,12940,,Lib,PC,CCF
19,ON,90,"FORT WILLIAM",1778,,8504,,,6768,,Lib,PC,CCF
19,ON,91,"FRONTENAC--ADDINGTON",,,6028,,,6154,,PC,Lib,Con
19,ON,92,"GLENGARRY",,,4578,,,2813,,Lib,PC,CCF
19,ON,93,"GREENWOOD",3430,,7397,,,14710,,PC,Lib,CCF
19,ON,94,"GRENVILLE--DUNDAS",,,5642,,,7225,,PC,Lib,Con
