election_id,prov_code,ed_id,ed_name,Bloc,Con,Grn,Lib,NDP,Other,1st,2nd,3rd
40,BC,59006,"Delta--Richmond East",,26252,3663,10371,6803,,Con,Lib,NDP
40,BC,59007,"Pitt Meadows--Maple Ridge--Mission",,26512,3833,3394,16894,538,Con,NDP,Grn
40,BC,59008,"Esquimalt--Juan de Fuca",,19974,4854,20042,13322,439,Lib,Con,NDP
40,BC,59009,"Fleetwood--Port Kells",,21389,3045,12502,10916,,Con,Lib,NDP
40,BC,59010,"Kamloops--Thompson--Cariboo",,25209,4430,5375,19601,,Con,NDP,Lib
40,BC,59011,"Kelowna--Lake Country",,31907,7821,8469,8624,218,Con,NDP,Lib
40,BC,59012,"Kootenay--Columbia",,23402,3933,3044,8892,,Con,NDP,Grn
40,BC,59013,"Langley",,32594,5059,5888,8898,594,Con,NDP,Lib
40,BC,59014,"Nanaimo--Alberni",,28930,7457,5578,19680,331,Con,NDP,Grn
40,BC,59015,"Nanaimo--Cowichan",,22844,5816,4483,27454,182,NDP,Con,Grn
40,BC,59016,"Newton--North Delta",,13988,2533,16481,11824,426,Lib,Con,NDP
40,BC,59017,"New Westminster--Coquitlam",,19299,3574,5615,20787,417,NDP,Con,Lib
40,BC,59018,"Okanagan--Shuswap",,28002,9368,5414,10664,694,Con,NDP,Grn
40,BC,59019,"North Vancouver",,24371,6168,21551,5417,166,Con,Lib,Grn
40,BC,59020,"Okanagan--Coquihalla",,28765,6603,5883,8236,,Con,NDP,Grn
40,BC,59021,"Port Moody--Westwood--Port Coquitlam",,25535,3568,6918,10418,321,Con,NDP,Lib
40,BC,59022,"Prince George--Peace River",,22325,3656,2954,6170,,Con,NDP,Grn
40,BC,59023,"Richmond",,21359,2753,13221,5059,486,Con,Lib,NDP
40,BC,59024,"Saanich--Gulf Islands",,27991,6742,25366,3667,694,Con,Lib,Grn
40,BC,59025,"Skeena--Bulkley Valley",,12561,1613,1916,17219,1237,NDP,Con,Lib
40,BC,59026,"British Columbia Southern Interior",,17122,4573,3292,22693,80,NDP,Con,Grn
40,BC,59027,"South Surrey--White Rock--Cloverdale",,31216,4951,11515,7146,273,Con,Lib,NDP
40,BC,59028,"Surrey North",,13714,1925,5227,12608,1359,Con,NDP,Lib
40,BC,59029,"Vancouver Centre",,14188,10354,19506,12047,434,Lib,Con,NDP
40,BC,59030,"Vancouver East",,6432,4708,7127,22506,596,NDP,Lib,Con
40,BC,59031,"Vancouver Island North",,25963,4544,2380,23466,362,Con,NDP,Grn
40,BC,59032,"Vancouver Kingsway",,12419,3031,13164,15933,749,NDP,Lib,Con
40,BC,59033,"Vancouver Quadra",,20561,4916,25393,4493,333,Lib,Con,Grn
40,BC,59034,"Vancouver South",,16090,2065,16110,7376,211,Lib,Con,NDP
40,BC,59035,"Victoria",,16337,6252,10006,26443,237,NDP,Con,Lib
40,BC,59036,"West Vancouver--Sunshine Coast--Sea to Sky Country",,26949,8723,16069,8728,,Con,Lib,NDP
40,MB,46001,"Brandon--Souris",,19558,5410,2836,6055,416,Con,NDP,Grn
40,MB,46002,"Charleswood--St. James--Assiniboia",,21588,2632,8514,7190,180,Con,Lib,NDP
40,MB,46003,"Churchill",,3773,606,5289,8734,,NDP,Lib,Con
40,MB,46004,"Dauphin--Swan River--Marquette",,18132,1923,4128,4914,452,Con,NDP,Lib
40,MB,46005,"Elmwood--Transcona",,12776,1839,2079,14355,312,NDP,Con,Lib
40,MB,46006,"Kildonan--St. Paul",,19751,1685,3009,12093,447,Con,NDP,Lib
40,MB,46007,"Portage--Lisgar",,22036,2606,4374,2353,911,Con,Lib,Grn
40,MB,46008,"Provencher",,23303,2089,4531,4947,1170,Con,NDP,Lib
40,MB,46009,"Saint Boniface",,19440,2104,14728,5502,195,Con,Lib,NDP
40,MB,46010,"Selkirk--Interlake",,23302,2126,3203,9506,295,Con,NDP,Lib
40,MB,46011,"Winnipeg Centre",,5437,2777,3922,12285,692,NDP,Con,Lib
40,MB,46012,"Winnipeg North",,5033,1070,2075,14097,241,NDP,Con,Lib
