election_id,prov_code,ed_id,ed_name,Bloc,ConParty,Grn,Lib,NDP,Other,1st,2nd,3rd
38,ON,190,"SCARBOROUGH--ROUGE RIVER",,5184,610,22564,3635,6962,Lib,Other,ConParty
38,ON,191,"SIMCOE NORTH",,20570,3486,23664,6162,689,Lib,ConParty,NDP
38,ON,192,"SIMCOE--GREY",,22496,2668,22396,5532,2285,ConParty,Lib,NDP
38,ON,193,"ST. CATHARINES",,18261,1927,21277,10135,1016,Lib,ConParty,NDP
38,ON,194,"ST. PAUL'S",,11226,3031,32171,8667,,Lib,ConParty,NDP
38,ON,195,"STORMONT--DUNDAS--SOUTH GLENGARRY",,21678,3491,17779,5387,,ConParty,Lib,NDP
38,ON,196,"SUDBURY",,9008,1999,18914,12781,100,Lib,NDP,ConParty
38,ON,197,"THORNHILL",,18125,1622,28709,3671,474,Lib,ConParty,NDP
38,ON,198,"THUNDER BAY--RAINY RIVER",,9559,856,14290,10781,814,Lib,NDP,ConParty
38,ON,199,"THUNDER BAY--SUPERIOR NORTH",,7394,1614,15022,10230,645,Lib,NDP,ConParty
38,ON,200,"TIMMINS--JAMES BAY",,5682,767,13525,14138,,NDP,Lib,ConParty
38,ON,201,"TORONTO CENTRE",,7936,2097,30336,12747,547,Lib,NDP,ConParty
38,ON,202,"TORONTO--DANFORTH",,2975,2575,19803,22198,349,NDP,Lib,ConParty
38,ON,203,"TRINITY--SPADINA",,4605,2259,23202,22397,813,Lib,NDP,ConParty
38,ON,204,"VAUGHAN",,11821,1722,31430,4371,580,Lib,ConParty,NDP
38,ON,205,"WELLAND",,12997,1454,19642,14623,848,Lib,NDP,ConParty
38,ON,206,"WELLINGTON--HALTON HILLS",,21479,2725,19173,5974,826,ConParty,Lib,NDP
38,ON,207,"WHITBY--OSHAWA",,20531,2759,25649,8002,,Lib,ConParty,NDP
38,ON,208,"WILLOWDALE",,11615,1844,30855,4812,1136,Lib,ConParty,NDP
38,ON,209,"WINDSOR WEST",,8348,1545,13831,20297,134,NDP,Lib,ConParty
38,ON,210,"WINDSOR--TECUMSEH",,9827,1613,16219,20037,182,NDP,Lib,ConParty
38,ON,211,"YORK CENTRE",,10318,1240,21520,5376,824,Lib,ConParty,NDP
38,ON,212,"YORK SOUTH--WESTON",,5133,1199,20537,7281,175,Lib,NDP,ConParty
38,ON,213,"YORK WEST",,3120,824,17903,4228,1580,Lib,NDP,ConParty
38,ON,214,"YORK--SIMCOE",,21343,2576,16763,5314,1258,ConParty,Lib,NDP
38,PE,215,"CARDIGAN",,6889,670,11064,2103,,Lib,ConParty,NDP
38,PE,216,"CHARLOTTETOWN",,5121,760,9175,3428,105,Lib,ConParty,NDP
38,PE,217,"EGMONT",,5363,717,10220,2133,,Lib,ConParty,NDP
38,PE,218,"MALPEQUE",,6126,1037,9782,1902,,Lib,ConParty,NDP
38,QC,219,"ABITIBI--TÉMISCAMINGUE",25041,2425,1037,13457,1472,,Bloc,Lib,ConParty
38,QC,220,"AHUNTSIC",20020,2544,1301,21234,3013,416,Lib,Bloc,NDP
38,QC,221,"ALFRED-PELLAN",26239,2703,1132,21116,1849,293,Bloc,Lib,ConParty
38,QC,222,"ARGENTEUIL--MIRABEL",28228,3460,2510,13214,1493,271,Bloc,Lib,ConParty
38,QC,223,"BEAUCE",17168,8091,1054,19592,1443,,Lib,Bloc,ConParty
38,QC,224,"BEAUHARNOIS--SALABERRY",26775,4864,1415,18293,1018,480,Bloc,Lib,ConParty
38,QC,225,"BEAUPORT",22989,7388,1577,11866,1896,585,Bloc,Lib,ConParty
38,QC,226,"BERTHIER--MASKINONGÉ",29432,5535,1314,11198,1653,,Bloc,Lib,ConParty
38,QC,227,"BOURASSA",15794,2226,660,20927,1661,557,Lib,Bloc,ConParty
38,QC,228,"BROME--MISSISQUOI",17537,4888,2011,18609,1177,,Lib,Bloc,ConParty
38,QC,229,"BROSSARD--LA PRAIRIE",21596,3107,1340,24155,2321,109,Lib,Bloc,ConParty
38,QC,230,"CHAMBLY--BORDUAS",33945,4219,2248,12694,2681,,Bloc,Lib,ConParty
38,QC,231,"CHARLESBOURG",23886,7306,1188,11911,1623,376,Bloc,Lib,ConParty
38,QC,232,"CHARLEVOIX--MONTMORENCY",25451,5259,1422,8598,1055,,Bloc,Lib,ConParty
38,QC,233,"CHICOUTIMI--LE FJORD",20650,2385,1038,19787,1699,,Bloc,Lib,ConParty
38,QC,234,"CHÂTEAUGUAY--SAINT-CONSTANT",29337,2902,1889,15384,1704,,Bloc,Lib,ConParty
38,QC,235,"COMPTON--STANSTEAD",20450,4589,1546,15752,1451,,Bloc,Lib,ConParty
38,QC,236,"DRUMMOND",23670,7123,921,9591,745,,Bloc,Lib,ConParty
38,QC,237,"GASPÉSIE--ÎLES-DE-LA-MADELEINE",21446,2636,1060,12579,805,,Bloc,Lib,ConParty
38,QC,238,"GATINEAU",18368,3461,1402,19198,2610,578,Lib,Bloc,ConParty
38,QC,239,"HOCHELAGA",27476,1856,1361,11712,2510,784,Bloc,Lib,NDP
38,QC,240,"HONORÉ-MERCIER",19461,2902,852,22223,1973,790,Lib,Bloc,ConParty
38,QC,241,"HULL--AYLMER",15626,3963,2561,20135,5709,98,Lib,Bloc,NDP
38,QC,242,"JEANNE-LE BER",18694,2524,1864,18766,3160,668,Lib,Bloc,NDP
38,QC,243,"JOLIETTE",30661,3107,1147,10975,1755,701,Bloc,Lib,ConParty
38,QC,244,"JONQUIÈRE--ALMA",25193,2217,679,13355,1561,2858,Bloc,Lib,Other
38,QC,245,"LA POINTE-DE-L'ÎLE",30713,1961,1186,10593,1751,,Bloc,Lib,ConParty
38,QC,246,"LAC-SAINT-LOUIS",5106,6082,2584,32122,3789,578,Lib,ConParty,Bloc
38,QC,247,"LASALLE--ÉMARD",14001,2271,1000,25806,1995,559,Lib,Bloc,ConParty
38,QC,248,"LAURENTIDES--LABELLE",28675,2887,1781,14459,1320,,Bloc,Lib,ConParty
38,QC,249,"LAURIER",28728,1224,2912,8454,5779,726,Bloc,Lib,NDP
38,QC,250,"LAVAL",24425,3115,1091,17639,1998,492,Bloc,Lib,ConParty
38,QC,251,"LAVAL--LES ÎLES",18597,3498,1178,23985,2202,652,Lib,Bloc,ConParty
38,QC,252,"LONGUEUIL",29473,2354,1263,12363,2512,401,Bloc,Lib,NDP
38,QC,253,"LOTBINIÈRE--CHUTES-DE-LA-CHAUDIÈRE",20245,10628,1615,9445,2091,,Bloc,ConParty,Lib
38,QC,254,"LOUIS-HÉBERT",24071,7512,2137,18999,3112,,Bloc,Lib,ConParty
38,QC,255,"LOUIS-SAINT-LAURENT",17248,13967,1243,10025,1369,1014,Bloc,ConParty,Lib
38,QC,256,"LÉVIS--BELLECHASSE",21930,9425,2372,13664,1910,163,Bloc,Lib,ConParty
38,QC,257,"MANICOUAGAN",19040,1601,444,8097,3361,,Bloc,Lib,NDP
38,QC,258,"MARC-AURÈLE-FORTIN",30779,3125,2012,14491,1867,,Bloc,Lib,ConParty
38,QC,259,"MATAPÉDIA--MATANE",17878,1972,585,9653,1581,,Bloc,Lib,ConParty
38,QC,260,"MONTCALM",34383,2831,1606,7915,1531,,Bloc,Lib,ConParty
38,QC,261,"MOUNT ROYAL",2636,3271,1046,28670,1859,402,Lib,ConParty,Bloc
38,QC,262,"MÉGANTIC--L'ÉRABLE",19264,4916,1489,15778,1608,,Bloc,Lib,ConParty
38,QC,263,"NOTRE-DAME-DE-GRÂCE--LACHINE",9736,4526,2214,23552,3513,732,Lib,Bloc,ConParty
38,QC,264,"NUNAVIK--EEYOU",12578,1265,862,12006,1097,,Bloc,Lib,ConParty
38,QC,265,"OUTREMONT",12730,2284,1643,15675,5382,572,Lib,Bloc,NDP
38,QC,266,"PAPINEAU",16424,1961,1058,16892,3603,1161,Lib,Bloc,NDP
38,QC,267,"PIERREFONDS--DOLLARD",7426,5010,1401,29601,2545,582,Lib,Bloc,ConParty
38,QC,268,"PONTIAC",11685,8869,1673,15358,2317,132,Lib,Bloc,ConParty
