election_id,prov_code,ed_id,ed_name,CCF,Lib,Other,PC,SoCred,1st,2nd,3rd
20,BC,28,"VANCOUVER EAST",16003,7786,5012,7008,,CCF,Lib,PC
20,BC,29,"VANCOUVER NORTH",10010,13373,3809,5971,1483,Lib,CCF,PC
20,BC,30,"VANCOUVER SOUTH",8497,12056,920,25878,766,PC,Lib,CCF
20,BC,31,"VANCOUVER--BURRARD",12264,8648,2635,14677,1025,PC,CCF,Lib
20,BC,32,"VICTORIA",10295,11806,1093,11442,793,Lib,PC,CCF
20,BC,33,"YALE",7713,4705,820,9625,1685,PC,CCF,Lib
20,MB,34,"BRANDON",5294,6870,497,5621,,Lib,PC,CCF
20,MB,35,"CHURCHILL",5226,4359,,3884,,CCF,Lib,PC
20,MB,36,"DAUPHIN",6226,5550,,4599,,CCF,Lib,PC
20,MB,37,"LISGAR",1512,4552,,4257,,Lib,PC,CCF
20,MB,38,"MACDONALD",2078,,6147,5147,1235,Other,PC,CCF
20,MB,39,"MARQUETTE",5098,6367,,5062,,Lib,CCF,PC
20,MB,40,"NEEPAWA",2848,4624,,6497,,PC,Lib,CCF
20,MB,41,"PORTAGE LA PRAIRIE",2306,5457,,3592,857,Lib,PC,CCF
20,MB,42,"PROVENCHER",1838,4541,2220,894,1940,Lib,Other,SoCred
20,MB,43,"SELKIRK",7556,6448,1978,3499,1197,CCF,Lib,PC
20,MB,44,"SOURIS",1838,2640,,6177,,PC,Lib,CCF
20,MB,45,"SPRINGFIELD",4797,5376,2631,2308,1783,Lib,CCF,Other
20,MB,46,"ST. BONIFACE",4823,6055,710,3421,1369,Lib,CCF,PC
20,MB,47,"WINNIPEG NORTH",13055,8839,9116,2584,864,CCF,Other,Lib
20,MB,48,"WINNIPEG NORTH CENTRE",15971,5728,1283,4711,1077,CCF,Lib,PC
20,MB,49,"WINNIPEG SOUTH",9033,11921,,9589,,Lib,PC,CCF
20,MB,50,"WINNIPEG SOUTH CENTRE",12393,16389,,8461,,Lib,CCF,PC
20,NB,51,"CHARLOTTE",,5486,,5456,,Lib,PC,Other
20,NB,52,"GLOUCESTER",609,11683,6423,,,Lib,Other,CCF
20,NB,53,"KENT",584,6835,,3089,,Lib,PC,CCF
20,NB,54,"NORTHUMBERLAND",,8507,,7425,,Lib,PC,Other
20,NB,55,"RESTIGOUCHE--MADAWASKA",2412,12200,2300,5205,,Lib,PC,CCF
