election_id,prov_code,ed_id,ed_name,Bloc,Grn,Lib,NDP,Other,PC,Reform,1st,2nd,3rd
36,SK,288,"BLACKSTRAP",,,10365,10117,208,2414,13502,Reform,Lib,NDP
36,SK,289,"CHURCHILL RIVER",,,5994,7288,,1077,6750,NDP,Reform,Lib
36,SK,290,"CYPRESS HILLS--GRASSLANDS",,,7130,6490,,3421,16439,Reform,Lib,NDP
36,SK,291,"PALLISER",,,7579,12553,350,2777,9590,NDP,Reform,Lib
36,SK,292,"PRINCE ALBERT",,,6965,10418,275,2702,12508,Reform,NDP,Lib
36,SK,293,"QU'APPELLE",,,6868,12269,382,1633,7784,NDP,Reform,Lib
36,SK,294,"REGINA--LUMSDEN--LAKE CENTRE",,,7079,12677,277,1605,8342,NDP,Reform,Lib
36,SK,295,"SASKATOON--HUMBOLDT",,,8972,10998,234,2499,11218,Reform,NDP,Lib
36,SK,296,"SASKATOON--ROSETOWN--BIGGAR",,,4438,12095,191,1931,9011,NDP,Reform,Lib
36,SK,297,"SOURIS--MOOSE MOUNTAIN",,,9077,6209,,4333,13732,Reform,Lib,NDP
36,SK,298,"WANUSKEWIN",,,8020,8793,558,2602,12854,Reform,NDP,Lib
36,SK,299,"WASCANA",,,14077,9530,264,2477,7261,Lib,NDP,Reform
36,SK,300,"YORKTON--MELVILLE",,,6481,8583,,2101,17216,Reform,NDP,Lib
36,YK,301,"YUKON",,,3036,4002,1370,1928,3493,NDP,Reform,Lib
