election_id,prov_code,ed_id,ed_name,Bloc,CdnAll,Grn,Lib,NDP,Other,PC,1st,2nd,3rd
37,ON,115,"CAMBRIDGE",,14915,,22148,4111,370,5988,Lib,CdnAll,PC
37,ON,116,"CHATHAM-KENT--ESSEX",,12957,715,20085,2209,286,4156,Lib,CdnAll,PC
37,ON,117,"DAVENPORT",,2021,642,17014,3457,841,1526,Lib,NDP,CdnAll
37,ON,118,"DON VALLEY EAST",,4736,,25915,2249,365,5645,Lib,PC,CdnAll
37,ON,119,"DON VALLEY WEST",,7239,,25329,2024,566,10583,Lib,PC,CdnAll
37,ON,120,"DUFFERIN--PEEL--WELLINGTON--GREY",,15028,1464,21678,1473,,7926,Lib,CdnAll,PC
37,ON,121,"DURHAM",,13743,,20602,2545,326,8367,Lib,CdnAll,PC
37,ON,122,"EGLINTON--LAWRENCE",,5497,688,25161,2663,297,7156,Lib,PC,CdnAll
37,ON,123,"ELGIN--MIDDLESEX--LONDON",,15496,431,17202,2319,407,6080,Lib,CdnAll,PC
37,ON,124,"ERIE--LINCOLN",,14992,,17054,2423,756,5174,Lib,CdnAll,PC
37,ON,125,"ESSEX",,16019,,20524,6431,152,3175,Lib,CdnAll,NDP
37,ON,126,"ETOBICOKE CENTRE",,10318,,26083,2124,181,7566,Lib,CdnAll,PC
37,ON,127,"ETOBICOKE NORTH",,6280,,23345,2210,347,,Lib,CdnAll,NDP
37,ON,128,"ETOBICOKE--LAKESHORE",,9160,,22467,2835,473,8453,Lib,CdnAll,PC
37,ON,129,"GLENGARRY--PRESCOTT--RUSSELL",,8632,,31371,1877,340,3942,Lib,CdnAll,PC
