election_id,prov_code,ed_id,ed_name,Lib,NDP,Other,PC,SoCred,1st,2nd,3rd
31,ON,185,"YORK SOUTH--WESTON",14913,10451,453,11236,,Lib,PC,NDP
31,ON,186,"YORK WEST",18410,9712,451,10572,,Lib,PC,NDP
31,ON,187,"YORK--PEEL",14108,7725,441,29081,,PC,Lib,NDP
31,ON,188,"YORK--SCARBOROUGH",32699,10978,819,36718,,PC,Lib,NDP
31,PE,189,"CARDIGAN",7972,892,,8219,,PC,Lib,NDP
31,PE,190,"EGMONT",6233,710,,8861,,PC,Lib,NDP
31,PE,191,"HILLSBOROUGH",5319,1453,54,8338,,PC,Lib,NDP
31,PE,192,"MALPEQUE",6707,1126,,8729,,PC,Lib,NDP
31,QC,193,"ABITIBI",15697,1420,2988,5652,21387,SoCred,Lib,PC
31,QC,194,"ARGENTEUIL",22043,1576,1009,5889,3780,Lib,PC,SoCred
31,QC,195,"BEAUCE",15193,215,472,2704,24770,SoCred,Lib,PC
31,QC,196,"BEAUHARNOIS--SALABERRY",26048,1866,1207,7460,4190,Lib,PC,SoCred
31,QC,197,"BELLECHASSE",17584,354,718,2924,18702,SoCred,Lib,PC
31,QC,198,"BERTHIER--MASKINONGÉ",21725,841,414,11995,2851,Lib,PC,SoCred
31,QC,199,"BLAINVILLE--DEUX-MONTAGNES",34885,3472,1852,5042,5972,Lib,SoCred,PC
31,QC,200,"BONAVENTURE--ÎLES-DE-LA-MADELEINE",15777,1514,,11641,,Lib,PC,NDP
31,QC,201,"BOURASSA",29929,1804,7250,3705,5178,Lib,Other,SoCred
31,QC,202,"CHAMBLY",32952,3324,1755,7221,6436,Lib,PC,SoCred
31,QC,203,"CHAMPLAIN",22256,1328,11194,4200,2796,Lib,Other,PC
31,QC,204,"CHARLESBOURG",40796,3784,948,5860,10461,Lib,SoCred,PC
31,QC,205,"CHARLEVOIX",18031,613,251,4503,8004,Lib,SoCred,PC
31,QC,206,"CHICOUTIMI",16605,1435,872,7897,6763,Lib,PC,SoCred
31,QC,207,"CHÂTEAUGUAY",27485,2404,1096,5909,3668,Lib,PC,SoCred
31,QC,208,"DOLLARD",43294,3949,1212,6208,1801,Lib,PC,NDP
31,QC,209,"DRUMMOND",22989,639,814,5746,10010,Lib,SoCred,PC
